Enterprise Number,VAT Liable,Authorization Phase,Validity Start,Validity End
10000025651,YES,001,2020-02-19,
24-02-12
10000026740,YES,001,2023-11-05,
10000026938,YES,001,2024-10-03,
10000027235,YES,001,2023-06-12,
10000027532,YES,001,2021-03-25,
10000028423,YES,001,2023-03-08,
10000028522,YES,001,2024-11-18,
10000029116,YES,001,2015-06-04,
10000029017,NO,002,2020-06-19,
10000029215,NO,001,2020-11-04,2021-03-07
10000028918,NO,001,2017-02-02,2023-11-07
10000029710,YES,001,2023-02-02,
10000029611,YES,001,2017-05-27,
10000029809,YES,001,2023-08-18,
10000029908,YES,001,2021-12-13,
10000030007,YES,001,2020-04-13,
10000030205,YES,001,2020-03-08,
10000030502,NO,004,2016-06-12,2024-07-15
10000030797,YES,001,2020-06-18,
10000030403,YES,001,2022-10-20,
10000029314,YES,001,2023-04-07,
10000031094,YES,001,2021-06-14,
10000030995,YES,001,2023-09-15,
10000031292,YES,001,2021-01-24,
10000031490,YES,001,2022-04-03,
10000031787,YES,001,2015-01-04,
10000031985,YES,001,2015-06-14,
10000032183,NO,001,2019-09-22,2021-10-01
10000031589,YES,001,2017-04-06,
10000032381,YES,001,2021-12-27,
10000032480,YES,001,2019-11-13,
10000032678,YES,001,2022-06-30,
10000032876,YES,001,2018-12-07,
10000033173,YES,001,2023-08-16,
10000033272,YES,001,2020-08-09,
10000033668,YES,001,2023-09-02,
10000033866,NO,002,2022-08-16,
10000033965,YES,001,2016-12-27,
10000033470,YES,001,2022-02-11,
10000034163,YES,001,2017-08-14,
10000032282,YES,001,2018-04-22,
10000034460,YES,001,2017-12-07,
10000034757,YES,001,2017-01-20,
10000034955,YES,001,2016-09-19,
10000035054,NO,001,2019-06-08,2022-01-06
10000035153,YES,001,2019-12-07,
10000035351,YES,001,2023-03-31,
10000035747,YES,001,2024-07-08,
10000035846,YES,001,2020-06-12,
10000035648,NO,002,2020-10-07,
10000035450,YES,001,2017-02-18,
10000036242,YES,001,2022-05-14,
10000036836,NO,001,2013-12-02,2023-01-20
10000036044,YES,001,2021-06-26,
10000036440,YES,001,2017-05-12,
10000037232,YES,001,2015-01-25,
10000037331,YES,001,2016-01-25,
10000037727,YES,001,2016-03-07,
10000037826,YES,001,2015-10-24,
10000036935,YES,001,2018-08-14,
10000038024,YES,001,2016-01-01,
10000038222,YES,001,2016-09-18,
10000038420,YES,001,2017-08-25,
10000038915,YES,001,2020-01-22,
10000039113,YES,001,2022-04-14,
10000039212,YES,001,2020-04-16,
10000037925,YES,001,2021-10-07,
10000039509,YES,001,2018-07-02,
10000039707,YES,001,2015-06-07,
10000040004,YES,001,2019-01-03,
10000040893,YES,001,2017-12-08,
10000040103,NO,001,2019-02-10,2023-01-20
10000041487,YES,001,2016-03-17,
10000041685,NO,001,2011-10-27,2023-02-21
10000041784,YES,001,2020-02-13,
10000041883,NO,001,2013-11-06,2024-04-21
10000042279,YES,001,2018-08-19,
10000042378,NO,001,2013-01-22,2021-04-24
10000042972,YES,001,2021-07-18,
10000039311,YES,001,2022-10-27,
10000043368,YES,001,2019-10-04,
10000043863,YES,001,2016-07-01,
10000043764,YES,001,2021-09-25,
10000044556,YES,001,2022-09-07,
10000043566,YES,001,2015-03-15,
10000044358,YES,001,2021-01-27,
10000044655,NO,004,2021-08-07,2023-01-20
10000045546,YES,001,2017-11-08,
10000045843,YES,001,2017-07-23,
10000045942,YES,001,2016-03-31,
10000045645,YES,001,2016-10-03,
10000045051,NO,001,2015-09-16,2022-10-17
10000046635,YES,001,2017-03-21,
10000046437,YES,001,2019-01-14,
10000046833,YES,001,2015-09-22,
10000046338,YES,001,2019-12-17,
10000047229,YES,001,2018-01-25,
10000047031,NO,001,2017-02-03,2021-05-03
10000047130,YES,001,2017-02-06,
10000047328,YES,001,2023-02-16,
10000047724,YES,001,2016-04-17,
10000046932,NO,001,2011-09-21,2021-11-17
10000047922,NO,001,2019-12-09,2024-08-10
10000048021,YES,001,2018-09-04,
10000048516,YES,001,2017-04-25,
10000048120,YES,001,2019-10-16,
10000048417,YES,001,2016-01-18,
10000048219,YES,001,2024-04-18,
10000049209,YES,001,2015-01-25,
10000049605,YES,001,2018-06-15,
10000049110,YES,001,2024-02-06,
10000048615,YES,001,2022-02-12,
10000050197,YES,001,2016-08-11,
