"EntityNumber","ActivityGroup","NaceVersion","NaceCode","Classification"
"0411.104.014","006","2025","90201","MAIN"
"0648.687.005","001","2025","14100","SECO"
"0648.687.005","001","2008","14390","SECO"
"0648.687.005","001","2008","14310","SECO"
"0717.947.577","001","2025","43410","MAIN"
"0717.947.577","001","2025","43230","SECO"
"0717.947.577","001","2025","43341","SECO"
"0717.947.577","001","2008","43910","MAIN"
"0717.947.577","001","2008","43291","SECO"
"0717.947.577","001","2008","43341","SECO"
"1027.395.591","001","2025","96992","MAIN"
"1027.395.591","001","2025","47792","SECO"
"1027.395.591","001","2025","96210","SECO"
"1027.395.591","001","2025","47770","SECO"
"1027.395.591","001","2025","47715","SECO"
"1027.395.591","001","2025","47750","SECO"
"1028.556.425","001","2025","43120","SECO"
"1028.556.425","001","2025","37000","MAIN"
"1028.556.425","001","2025","42911","SECO"
"1028.556.425","001","2025","38330","SECO"
"2.130.882.142","006","2003","52330","MAIN"
"2.130.882.142","006","2025","47750","MAIN"
"2.130.882.142","006","2008","47750","MAIN"
"2.130.882.142","003","2008","47512","MAIN"
"2.130.882.142","003","2008","4764001","MAIN"
"2.130.882.142","003","2008","47260","MAIN"
"2.130.882.142","003","2008","4777001","MAIN"
"2.130.882.142","003","2008","4741001","MAIN"
"2.130.882.142","003","2008","4778801","MAIN"
"2.130.882.142","003","2008","4778402","MAIN"
"2.130.882.142","003","2008","47722","MAIN"
"2.130.882.142","003","2008","4759903","MAIN"
"2.130.882.142","003","2008","4777002","MAIN"
"2.130.882.142","003","2008","4778201","MAIN"
"2.130.882.142","003","2008","4776201","MAIN"
"2.130.882.142","003","2008","4778401","MAIN"
"2.130.882.142","003","2008","4776101","MAIN"
"2.130.882.142","003","2008","4743001","MAIN"
"2.130.882.142","003","2008","47540","MAIN"
"2.130.882.142","003","2008","47620","MAIN"
"2.130.882.142","003","2008","4765001","MAIN"
"2.130.882.142","003","2008","47112","MAIN"
"2.130.882.142","003","2008","4778802","MAIN"
"2.130.882.142","003","2008","4729902","MAIN"
"2.130.882.142","003","2008","47716","MAIN"
"2.130.882.142","003","2008","46190","MAIN"
"2.130.882.142","003","2008","4763001","MAIN"
"2.130.882.142","003","2008","47750","MAIN"
"2.130.882.142","003","2008","4778701","MAIN"
"2.130.882.142","003","2008","47715","MAIN"
"2.130.882.142","003","2008","4729901","MAIN"
"2.130.882.142","003","2008","47789","MAIN"
"2.130.882.142","003","2008","47713","MAIN"
"2.130.882.142","003","2008","47714","MAIN"
"2.130.882.142","003","2003","5248301","MAIN"
"2.130.882.142","003","2003","52421","MAIN"
"2.130.882.142","003","2003","5248402","MAIN"
"2.130.882.142","003","2003","5248801","MAIN"
"2.130.882.142","003","2003","52260","MAIN"
"2.130.882.142","003","2003","52330","MAIN"
"2.130.882.142","003","2003","5248201","MAIN"
"2.130.882.142","003","2003","5248701","MAIN"
"2.130.882.142","003","2003","52410","MAIN"
"2.130.882.142","003","2003","5227202","MAIN"
"2.130.882.142","003","2003","52425","MAIN"
"2.130.882.142","003","2003","5245003","MAIN"
"2.130.882.142","003","2003","5248401","MAIN"
"2.130.882.142","003","2003","52426","MAIN"
"2.130.882.142","003","2003","52432","MAIN"
"2.130.882.142","003","2003","5249302","MAIN"
"2.130.882.142","003","2003","5248802","MAIN"
"2.130.882.142","003","2003","5249301","MAIN"
"2.130.882.142","003","2003","5227201","MAIN"
"2.130.882.142","003","2003","5244206","MAIN"
"2.130.882.142","003","2003","52112","MAIN"
"2.130.882.142","003","2003","52424","MAIN"
"2.130.882.142","003","2003","5245002","MAIN"
"2.130.882.142","003","2003","52470","MAIN"
"2.130.882.142","003","2003","52450","MAIN"
"2.130.882.142","003","2003","5249801","MAIN"
"2.130.882.142","003","2003","51190","MAIN"
"2.130.882.142","003","2025","4755903","MAIN"
"2.130.882.142","003","2025","47722","MAIN"
"2.130.882.142","003","2025","47750","MAIN"
"2.130.882.142","003","2025","47110","MAIN"
"2.130.882.142","003","2025","4740001","MAIN"
"2.130.882.142","003","2025","4763901","MAIN"
"2.130.882.142","003","2025","4769021","MAIN"
"2.130.882.142","003","2025","47640","MAIN"
"2.130.882.142","003","2025","47714","MAIN"
"2.130.882.142","003","2025","47789","MAIN"
"2.130.882.142","003","2025","47716","MAIN"
"2.130.882.142","003","2025","4727902","MAIN"
"2.130.882.142","003","2025","47715","MAIN"
"2.130.882.142","003","2025","4755401","MAIN"
"2.130.882.142","003","2025","4769011","MAIN"
"2.130.882.142","003","2025","4740011","MAIN"
"2.130.882.142","003","2025","46190","MAIN"
"2.130.882.142","003","2025","47713","MAIN"
"2.130.882.142","003","2025","4755402","MAIN"
"2.130.882.142","003","2025","4777001","MAIN"
"2.130.882.142","003","2025","4727901","MAIN"
"2.130.882.142","003","2025","4774201","MAIN"
"2.130.882.142","003","2025","47260","MAIN"
"2.130.882.142","003","2025","4778301","MAIN"
"2.130.882.142","003","2025","47621","MAIN"
"2.130.882.142","003","2025","4776101","MAIN"
"2.130.882.142","003","2025","47540","MAIN"
"2.130.882.142","003","2025","47783","MAIN"
"2.130.882.142","003","2025","4777002","MAIN"
"2.130.882.142","003","2025","4776201","MAIN"
"2.130.882.142","003","2025","47512","MAIN"
"2.190.171.611","003","2025","47242","MAIN"
"2.190.171.611","003","2025","82400","MAIN"
"2.190.171.611","003","2025","47920","MAIN"
"2.190.171.611","003","2025","56112","MAIN"
"2.190.171.611","003","2025","46190","SECO"
"2.190.171.611","003","2025","56120","MAIN"
"2.190.171.611","003","2025","68201","SECO"
"2.214.363.114","003","2025","43341","SECO"
"2.214.363.114","003","2025","74201","SECO"
"2.214.363.114","003","2025","47540","SECO"
"2.214.363.114","003","2025","85592","SECO"
