"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"0761.879.075","REGO",,,"2000","Antwerpen","Antwerpen","Leuvenstraat","Leuvenstraat","3","22","",
"1012.706.130","REGO",,,"2000","Antwerpen","Antwerpen","Leuvenstraat","Leuvenstraat","3","22","",
"1029.025.290","REGO",,,"2240","Zandhoven","Zandhoven","Vierselbaan","Vierselbaan","12","b","",
"1029.025.686","REGO",,,"9190","Stekene","Stekene","Heikant(STE)","Heikant(STE)","34","3","",
"1029.025.785","REGO",,,"8554","Zwevegem","Zwevegem","Kooigemstraat(S)","Kooigemstraat(S)","1","","",
"1029.025.884","REGO",,,"4800","Verviers","Verviers","Rue de France","Rue de France","61","","",
"1029.025.983","REGO",,,"8550","Zwevegem","Zwevegem","Kortrijkstraat(Z)","Kortrijkstraat(Z)","47","","",
"1029.026.082","REGO",,,"3220","Holsbeek","Holsbeek","Bruul","Bruul","7","","",
"1029.026.280","REGO",,,"8500","Kortrijk","Kortrijk","Brugsesteenweg(Kor)","Brugsesteenweg(Kor)","198","","",
"1029.026.379","REGO",,,"7370","Dour","Dour","Rue Emile Cornez","Rue Emile Cornez","11","","",
"1029.028.161","REGO",,,"1080","Sint-Jans-Molenbeek","Molenbeek-Saint-Jean","Louis Mettewielaan","Boulevard Louis Mettewie","60","15","",
"1029.028.458","REGO",,,"1730","Asse","Asse","Weversstraat","Weversstraat","39","LM","",
"2.022.529.875","BAET",,,"8370","Blankenberge","Blankenberge","Scharebrugstraat","Scharebrugstraat","225","","",
"2.052.240.579","BAET",,,"3070","Kortenberg","Kortenberg","Kiewitstraat","Kiewitstraat","55","","",
"2.071.349.579","BAET",,,"1090","Jette","Jette","Uyttenhovestraat","Rue Uyttenhove","80","","",
"2.094.609.585","BAET",,,"1380","Lasne","Lasne","Chemin du Bois Magonette","Chemin du Bois Magonette","2","","",
"2.185.357.837","BAET",,,"8610","Kortemark","Kortemark","Nieuwstraat","Nieuwstraat","17A","1","",
"2.190.171.611","BAET",,,"7080","Frameries","Frameries","Rue Docteur G. Descamps","Rue Docteur G. Descamps","48","","",
"2.190.395.503","BAET",,,"9160","Lokeren","Lokeren","Hermelinestraat","Hermelinestraat","10","","",
"2.207.331.604","BAET",,,"3080","Tervuren","Tervuren","Brusselsesteenweg","Brusselsesteenweg","167","","",
"2.214.363.114","BAET",,,"3270","Scherpenheuvel-Zichem","Scherpenheuvel-Zichem","Peggerstraat","Peggerstraat","11","","",
"2.220.789.363","BAET",,,"1970","Wezembeek-Oppem","Wezembeek-Oppem","Jozef Bausstraat","Rue Jozef Baus","41","","",
"2.228.420.095","BAET",,,"1160","Oudergem","Auderghem","Edmond Van Nieuwenhuyselaan","Av. Edmond Van Nieuwenhuyse","24","12","",
