"EntityNumber","EntityContact","ContactType","Value"
"0627.716.494","ENT","WEB","www.liespraet.be"
"0628.983.929","ENT","TEL","053/39-00-70"
"0628.983.929","ENT","EMAIL","info@svd-solutions.be"
"0628.983.929","ENT","WEB","www.svd-solutions.be"
"0741.731.086","ENT","TEL","+32456181305"
"0741.731.086","ENT","EMAIL","contact@gera.international"
"0741.731.086","ENT","EMAIL","contact@gera-in.org"
"0741.731.086","ENT","EMAIL","contact@gerain.eu"
"0741.731.086","ENT","WEB","gera.international"
"0741.731.086","ENT","WEB","www.gera-in.org/"
"0741.731.086","ENT","WEB","www.gerain.eu/"
"0741.731.086","ENT","WEB","www.gerain.org/"
"0788.788.855","ENT","EMAIL","simon.paepen.commv@gmail.com"
"1028.657.482","ENT","TEL","0471/19.33.76"
"1028.657.482","ENT","EMAIL","goffauxgarden@gmail.com"
"1028.657.482","ENT","WEB","www.facebook.com/profile.php?id=61581023077989"
"1029.025.785","ENT","EMAIL","info@vgdsolutions.be"
"1029.026.379","ENT","EMAIL","partikulband@gmail.com"
"1029.028.161","ENT","EMAIL","cap_horizons@hotmail.com"
"1029.028.458","ENT","EMAIL","asbl@bosolonasse.org"
"1029.028.458","ENT","WEB","bosolonasse.org"
"2.094.609.585","EST","EMAIL","arnaud.petre@gmail.com"
"2.216.807.118","EST","EMAIL","verbeeck.eric@skynet.be"
"2.221.826.867","EST","TEL","0471251786"
"2.248.838.991","EST","EMAIL","macs@proximus.be"
"2.270.352.405","EST","TEL","+32 486 31 87 99"
"2.272.096.425","EST","EMAIL","info@juliettepoulette.be"
"2.289.732.609","EST","TEL","011 555 999"
"2.289.732.609","EST","TEL","0474653363"
"2.334.000.142","EST","TEL","+32456941657"
"2.334.000.142","EST","EMAIL","info@tokozz.com"
"2.334.000.142","EST","WEB","www.tokozz.com"
"2.334.361.319","EST","EMAIL","simon.paepen.commv@gmail.com"
"2.341.983.440","EST","EMAIL","executiveteam@volteuropa.org"
"2.341.983.440","EST","EMAIL","Treasury@volteuropa.org"
"2.378.183.345","EST","EMAIL","support@strongroot.eu"
"2.378.183.345","EST","WEB","strongroot.eu/"
"2.379.162.253","EST","TEL","0471/19.33.76"
"2.379.162.253","EST","EMAIL","goffauxgarden@gmail.com"
"2.379.162.253","EST","WEB","www.facebook.com/profile.php?id=61581023077989"
